"","m1","m2","m5","m10","m20","m40","m60"
"lr",1.42731642706301,1.42731642706301,1.12323044365084,1.04108303480053,1.01072213393095,1.02737076245797,1.02594839208017
"vl",1.42731642706301,1.42731642706301,1.12323044365084,1.04108303480053,1.01072213393095,1.02737076245797,1.02594839208017
"mra",1.42731642706301,1.42731642706301,1.12323044365084,1.04108303480053,1.01072213393095,1.02737076245797,1.02594839208017
