"","m1","m2","m5","m10","m20","m40","m60"
"lr",1.73945342184432,1.72631161885306,1.55883425815627,1.3171697519682,1.21870602476246,1.07711733898358,1.05437007093028
"vl",1.36101979488926,1.19117440330274,1.0860304145261,1.04806802241018,1.04001728312498,1.05219814648888,1.0191612246716
"mra",1.73945342184432,1.73945342184432,1.38258637689511,1.11396780153599,1.07746242291222,1.03301040191749,1.02541459213566
