"","m1","m2","m5","m10","m20","m40","m60","m80","m100"
"lr",1.13224567077,1.12908544558716,1.11720178559518,1.11926855626058,1.03461528301384,1.00453029594285,1.00422301485929,1.00107594204475,1.00011141719796
"vl",1.06455100854314,1.04600446258248,1.03184787283172,1.02839353635144,1.00851593572972,1.00461535740191,1.00646982956243,1.00200894329679,0.999815390007492
"vl-mra",1.13224567077,1.13224567077,1.07177762756615,1.03468819153239,1.02777484953844,1.0117748147804,1.00786558719323,1.0092167001765,1.0091499431553
