"","m1","m2","m5","m10","m20","m40","m60","m80","m100"
"lr",1.69104315074667,1.68526928887243,1.63645019290416,1.61901988736682,1.32306034750402,1.18168135683483,1.14239818884216,1.11226267079114,1.09663307031839
"vl",1.22674425580418,1.12984490452154,1.05904660294479,1.05446894686363,1.03738304534963,1.03754896212322,1.04267346280106,1.03122127655814,1.02307065530166
"vl-mra",1.69104315074667,1.69104315074667,1.43926724721229,1.11301032455564,1.06791270632463,1.04605617596231,1.02935605341062,1.02842219111036,1.02885776887449
