"","m1","m2","m5","m10","m20","m40","m60","m80","m100"
"lr",1.2567142706292,1.25611143138752,1.22986673769988,1.22588648679337,1.08479256102427,1.02745197775808,1.01905773898301,1.01149627619924,1.00837282973275
"vl",1.11847997697781,1.07992024600436,1.04731084504523,1.03915390456006,1.01282661833681,1.01054981312377,1.01141266497979,1.00435791705105,1.00060173759703
"vl-mra",1.2567142706292,1.2567142706292,1.14804607022461,1.06207368327742,1.0458603178499,1.02048769598165,1.01204829867056,1.01144521775043,1.01116882087108
