"","m1","m2","m5","m10","m20","m40","m60","m80","m100"
"lr",1.34489455415779,1.34309094404628,1.3139540931643,1.3071168628167,1.12933598742709,1.0530541902172,1.03809682007058,1.02445204730018,1.01893004719963
"vl",1.13717104506484,1.08945014688598,1.0402109474704,1.03530728851818,1.01777372315712,1.01412054331799,1.01209234935328,1.00557422626735,1.0030880372774
"vl-mra",1.34489455415779,1.34489455415779,1.20073339469706,1.06937151421714,1.04571286756519,1.02504424058722,1.01422864435495,1.01351973798508,1.01270734889134
